log_death_rate,State,Deep_Pov_All,PovertyAllAgesPct,PerCapitaInc,UnempRate2019,PctEmpFIRE,PctEmpConstruction,PctEmpTrans,PctEmpMining,PctEmpTrade,PctEmpInformation,PctEmpAgriculture,PctEmpManufacturing,PctEmpServices,PopDensity2010,OwnHomePct,Age65AndOlderPct2010,TotalPop25Plus,Under18Pct2010,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,ForeignBornPct,Net_International_Migration_Rate_2010_2019,NetMigrationRate1019,NaturalChangeRate1019,TotalPopEst2019,WhiteNonHispanicPct2010,Type_2015_Update,RuralUrbanContinuumCode2013,UrbanInfluenceCode2013,Perpov_1980_0711,HiCreativeClass2000,HiAmenity,Retirement_Destination_2015_Update
-8.64830916927378,MA,4.556616644,5.9,51270,4.2,8.15948076,13.0273528,3.817029825,0,13.76912378,1.35991346,1.931695256,1.916241694,51.89306135,226.2,69.2101021,12.06,8025,20.72,18.39252336,18.61682243,6.566978193,51.68847352,10.11620575,6.304,5.104,7.002,11399,80.53,5,7,11,0,1,1,0
-6.54189344464549,MA,3.228945701,6.5,52036,2.5,10.57074268,5.386180774,3.475909234,0.054840331,11.7893271,2.639056531,0.144627933,6.480299149,55.79600472,1693.61,69.17560548,14.5,488612,22.68,19.47782699,13.95012812,7.492243334,52.95981269,17.68795945,4.39,3.036,1.98,706775,80.31,0,1,1,0,1,0,0
-6.5532007540827,MA,3.572882655,6.2,41343,3,8.578563791,7.781005958,4.624399754,0.064983395,14.356041,2.003150939,0.428059226,6.732959805,51.12304153,750.93,75.94065677,13.91,355335,24.14,27.89874344,18.41079545,9.921341832,36.68481855,9.333671786,2.612,3.874,1.223,521202,83.92,0,1,1,0,1,0,0
-6.58422556803607,MA,9.599017062,17.5,40190,2.6,8.67228988,4.123586533,4.083077045,0.010010965,10.20792543,2.19798896,0.103834665,4.751250789,61.85705738,12415.65,36.11719232,10.49,546850,17.49,22.44674042,13.59257566,4.711712535,44.77041236,29.80350255,11.96,4.969,5.797,803907,48.06,0,1,1,0,1,0,0
-6.66768904027,MA,4.851319763,9,36169,3.1,6.489533204,6.142510837,4.153282144,0.072604817,13.69054585,1.972510479,0.425120311,12.29266429,50.95138582,528.57,64.98044218,12.78,564408,23.45,28.14099021,17.30078241,9.025031537,35.94580516,11.9372963,4.079,1.948,1.829,830622,80.68,0,2,2,0,1,0,0
-9.41417877223239,NH,3.492111346,6.9,35382,2.5,5.852129516,9.778323531,2.442965165,0.080785885,16.15071415,1.648032056,0.471789569,9.813869321,48.53615976,150.13,76.91095032,16.74,44796,20.77,28.51370658,21.3635146,10.24645058,32.42923475,2.491754617,0.797,4.439,-2.439,61303,95.78,5,4,3,0,1,0,0
-10.1046308635707,NH,3.675380248,9,36033,2.5,5.466237942,11.68556439,3.232357421,0.012692503,14.94330682,1.408867829,1.201556947,8.922829582,48.40497546,51.36,79.38300902,20.57,37013,18.65,29.91381407,19.9200281,10.39364548,33.596304,2.704849498,0.391,5.694,-3.427,48910,96.79,5,6,4,0,1,0,1
-9.85333834027906,NH,3.882871818,10.2,34136,2.6,4.5168198,7.6517019,3.884365429,0.174298449,16.57827245,1.476556859,0.896392022,12.78852618,48.6068574,109.13,69.82090438,14.71,53033,19.6,31.34840571,18.83921332,10.21250919,32.5985707,3.282063386,0.736,-0.737,-0.526,76085,95.36,0,4,5,0,1,0,0
-10.3598041908017,NH,5.054224805,13.1,26535,3.2,3.630363036,7.033828383,4.606710671,0.158140814,16.7010451,1.038228823,2.358360836,8.704620462,48.8930143,18.42,70.91107872,19.36,24442,18.91,40.0990099,19.63014483,10.83790197,18.06316995,3.539546788,0.106,0.925,-5.193,31563,96.21,5,7,8,0,0,0,0
-10.713172549344,NH,4.257698366,9,36619,2.2,3.890209176,7.013937954,2.806859785,0.083499261,12.33005759,1.393795363,1.755625495,9.165649688,58.61434046,52.15,68.98020258,15.5,62875,18.38,26.98687873,17.01630219,8.314910537,40.46441352,5.840041866,2.503,1.589,-0.74,89886,92.34,5,5,8,0,1,0,0
